timestamp,temp_c,humidity_pct,soil_adc,light_lux,flame_detected,ir_detected,relay_fan,relay_pump,relay_light,relay_buzzer,automation_on,threshold_temp_on,threshold_soil_dry,threshold_light_lux
2026-02-19T01:11:22,,,,,,,,,,,,28,1800,5
2026-02-19T01:11:24,27.8,59.3,0.0,22.5,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:27,27.8,59.2,0.0,22.5,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:29,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:32,27.8,59.3,0.0,22.5,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:34,27.8,59.3,0.0,22.5,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:37,27.8,59.3,0.0,22.5,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:39,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:42,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:44,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:47,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:49,27.8,59.2,0.0,20.83,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:52,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:54,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:57,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:11:59,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:02,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:04,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:07,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:09,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:12,27.8,59.2,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:14,27.8,59.2,0.0,22.5,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:17,27.8,59.3,0.0,22.5,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:19,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:22,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:24,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:27,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:29,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:31,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:34,27.8,59.3,0.0,21.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:36,27.8,59.2,0.0,26.67,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:12:39,27.8,59.2,0.0,2.5,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:12:41,27.8,59.2,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:12:44,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:12:47,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:12:49,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:12:52,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:12:54,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:12:57,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:00,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:03,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:06,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:08,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:11,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:13,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:16,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:18,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:21,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:24,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:26,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:29,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:32,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:34,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:37,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:39,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:42,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:45,27.8,59.3,0.0,0.83,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:47,27.8,59.3,0.0,1.67,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:50,27.8,59.3,0.0,3.33,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:52,27.8,59.3,0.0,20.0,1,1,0,0,1,0,1,28,1800,5
2026-02-19T01:13:55,27.8,59.3,0.0,20.83,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:13:58,27.8,59.3,0.0,20.83,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:00,27.8,59.3,0.0,20.83,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:03,27.8,59.3,0.0,20.0,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:06,27.8,59.3,0.0,20.83,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:08,27.8,59.3,0.0,20.0,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:11,27.8,59.3,0.0,20.83,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:13,27.8,59.3,0.0,20.0,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:16,27.8,59.3,0.0,20.0,1,1,0,0,0,0,1,28,1800,5
2026-02-19T01:14:18,27.8,59.3,0.0,20.83,1,1,0,0,0,0,1,28,1800,5
